S No.,Manufacturer/Importer Name and address,License Number,Name of Device and Device Class,Intended Use,Brand Name,Model Numbers,Issuing Authority,Action,Address,Intended,Price (INR),Specifications / Details
1,"Spark Peripheral Technologies, Shop 1, Moolchand Market, New Delhi",Licence no: IMP/MD/2022/00584 Issued on: 22-AUG-2022,"Defibrillator, class type: Class C",Delivers a dose of electric current to the heart to treat life-threatening arrhythmias.,Defib-Max,Defib-7456X,SLA - Maharashtra,,"Legal Manufacturing Site : Spark Peripheral Technologies Unit, New Delhi",Delivers a dose of electric current to the heart to treat life-threatening arrhythmias.,110000,Dimensions: 30 x 20 x 15 cm | Weight: ~2-10 kg | Power: 110V/220V AC or Battery
2,"NovaBio Tech, Phase 8, Industrial Area, Mohali, Punjab",Licence no: IMP/MD/2018/00855 Issued on: 07-AUG-2018,"Defibrillator, class type: Class C",Delivers a dose of electric current to the heart to treat life-threatening arrhythmias.,Defib-Basic,Defib-8925B,SLA - Telangana,,"Legal Manufacturing Site : NovaBio Tech Unit, Punjab",Delivers a dose of electric current to the heart to treat life-threatening arrhythmias.,260000,Dimensions: 30 x 20 x 15 cm | Weight: ~2-10 kg | Power: 110V/220V AC or Battery
3,"Spark Peripheral Technologies, Shop 1, Moolchand Market, New Delhi",Licence no: MFG/MD/2020/00161 Issued on: 07-MAR-2020,"Defibrillator, class type: Class C",Delivers a dose of electric current to the heart to treat life-threatening arrhythmias.,Defib-Pro,Defib-6453B,SLA - Maharashtra,,"Legal Manufacturing Site : Spark Peripheral Technologies Unit, New Delhi",Delivers a dose of electric current to the heart to treat life-threatening arrhythmias.,400000,Dimensions: 30 x 20 x 15 cm | Weight: ~2-10 kg | Power: 110V/220V AC or Battery
4,"Pioneer Health Systems, Sector V, Salt Lake, Kolkata, West Bengal",Licence no: IMP/MD/2018/00273 Issued on: 18-MAY-2018,"Defibrillator, class type: Class C",Delivers a dose of electric current to the heart to treat life-threatening arrhythmias.,Defib-X,Defib-8129B,SLA - Maharashtra,,"Legal Manufacturing Site : Pioneer Health Systems Unit, West Bengal",Delivers a dose of electric current to the heart to treat life-threatening arrhythmias.,170000,Dimensions: 30 x 20 x 15 cm | Weight: ~2-10 kg | Power: 110V/220V AC or Battery
5,"Pioneer Health Systems, Sector V, Salt Lake, Kolkata, West Bengal",Licence no: IMP/MD/2021/00381 Issued on: 27-FEB-2021,"Defibrillator, class type: Class C",Delivers a dose of electric current to the heart to treat life-threatening arrhythmias.,Defib-X,Defib-8174A,SLA - Tamil Nadu,,"Legal Manufacturing Site : Pioneer Health Systems Unit, West Bengal",Delivers a dose of electric current to the heart to treat life-threatening arrhythmias.,280000,Dimensions: 30 x 20 x 15 cm | Weight: ~2-10 kg | Power: 110V/220V AC or Battery
6,"Zenith Medical Devices, Tower B, BKC, Bandra East, Mumbai, Maharashtra",Licence no: MFG/MD/2023/00583 Issued on: 01-APR-2023,"Defibrillator, class type: Class C",Delivers a dose of electric current to the heart to treat life-threatening arrhythmias.,Defib-Plus,Defib-3035,SLA - Tamil Nadu,,"Legal Manufacturing Site : Zenith Medical Devices Unit, Maharashtra",Delivers a dose of electric current to the heart to treat life-threatening arrhythmias.,210000,Dimensions: 30 x 20 x 15 cm | Weight: ~2-10 kg | Power: 110V/220V AC or Battery
7,"NovaBio Tech, Phase 8, Industrial Area, Mohali, Punjab",Licence no: MFG/MD/2022/00511 Issued on: 12-MAY-2022,"Digital Blood Pressure Monitor, class type: Class B",To measure systolic and diastolic blood pressure non-invasively.,BP-Basic,BP-9962A,SLA - Maharashtra,,"Legal Manufacturing Site : NovaBio Tech Unit, Punjab",To measure systolic and diastolic blood pressure non-invasively.,1200,Dimensions: 30 x 20 x 15 cm | Weight: ~2-10 kg | Power: 110V/220V AC or Battery
8,"Quantum Care Co., Jubilee Hills, Hyderabad, Telangana",Licence no: MFG/MD/2023/00672 Issued on: 04-NOV-2023,"Digital Blood Pressure Monitor, class type: Class B",To measure systolic and diastolic blood pressure non-invasively.,BP-Advance,BP-1380B,SLA - Tamil Nadu,,"Legal Manufacturing Site : Quantum Care Co. Unit, Telangana",To measure systolic and diastolic blood pressure non-invasively.,1100,Dimensions: 30 x 20 x 15 cm | Weight: ~2-10 kg | Power: 110V/220V AC or Battery
9,"Zenith Medical Devices, Tower B, BKC, Bandra East, Mumbai, Maharashtra",Licence no: MFG/MD/2019/00978 Issued on: 26-JUN-2019,"Digital Blood Pressure Monitor, class type: Class B",To measure systolic and diastolic blood pressure non-invasively.,BP-Elite,BP-7458,SLA - Karnataka,,"Legal Manufacturing Site : Zenith Medical Devices Unit, Maharashtra",To measure systolic and diastolic blood pressure non-invasively.,1300,Dimensions: 30 x 20 x 15 cm | Weight: ~2-10 kg | Power: 110V/220V AC or Battery
10,"LifeCare Innovations, Tech Park, OMR, Chennai, Tamil Nadu",Licence no: IMP/MD/2021/00421 Issued on: 14-FEB-2021,"Digital Blood Pressure Monitor, class type: Class B",To measure systolic and diastolic blood pressure non-invasively.,BP-Advance,BP-4327X,SLA - Karnataka,,"Legal Manufacturing Site : LifeCare Innovations Unit, Tamil Nadu",To measure systolic and diastolic blood pressure non-invasively.,3600,Dimensions: 30 x 20 x 15 cm | Weight: ~2-10 kg | Power: 110V/220V AC or Battery
